32.36,6.98,45.3,38.8,20.9,17.0,37.7,13.9,19,h
20.3,30.55,44.3,38.0,28.1,25.0,36.1,3.2,11,h
-7.92,21.62,38.3,28.4,17.3,17.0,23.7,4.3,21,h
-7.21,24.09,37.6,28.4,15.8,18.0,24.6,9.0,22,h
-7.21,24.09,37.6,28.4,15.8,18.0,24.6,9.0,22,h
-9.8,21.99,35.2,25.5,15.1,21.0,20.6,8.3,23,h
-9.82,22.0,35.2,25.5,15.1,21.0,20.6,8.3,23,h
-9.8,21.99,35.2,25.5,15.1,21.0,20.6,8.3,23,h
-9.82,22.0,35.2,25.5,15.1,21.0,20.6,8.3,23,h
-10.75,23.22,33.8,24.9,15.5,19.0,21.7,12.6,23,h
-14.57,24.09,29.4,19.8,16.9,25.0,15.0,9.0,29,h
-14.58,24.1,29.4,19.8,16.9,25.0,15.0,9.0,29,h
-14.57,24.09,29.4,19.8,16.9,25.0,15.0,9.0,29,h
-14.58,24.09,29.4,19.8,16.9,25.0,15.0,9.0,29,h
-14.58,24.1,29.4,19.8,16.9,25.0,15.0,9.0,29,h
-14.64,19.66,28.5,17.7,14.4,17.0,12.5,8.3,29,h
59.97,134.51,13.8,11.9,14.0,84.0,12.1,11.2,92,h
57.39,133.35,20.9,14.8,17.6,61.0,11.7,7.6,79,h
57.37,133.31,20.9,14.8,17.6,61.0,11.7,7.6,79,h
57.81,134.2,19.5,15.5,11.5,63.0,15.0,5.4,79,h
57.84,134.22,19.5,15.5,11.5,63.0,15.0,5.4,79,h
59.61,134.76,17.3,14.2,14.4,69.0,15.2,7.6,63,h
32.36,6.98,45.3,38.8,20.9,17.0,36.0,16.6,21,h
32.14,6.47,45.3,38.8,20.9,17.0,36.0,16.6,21,h
-32.38,152.25,22.5,14.5,12.6,63.0,10.1,6.5,76,h
-32.38,152.24,22.5,14.5,12.6,63.0,10.1,6.5,76,h
-33.9,150.62,22.4,13.0,11.0,59.0,7.9,5.4,77,h
-31.06,152.82,23.8,14.6,10.8,71.0,11.1,5.0,97,h
-31.06,152.82,23.8,14.6,10.8,71.0,11.1,5.0,97,h
-30.62,150.0,20.8,11.9,8.3,57.0,7.7,4.0,69,h
-30.8,152.29,23.8,14.6,10.8,71.0,11.1,5.0,97,h
-23.38,147.74,26.6,19.3,16.6,55.0,14.1,7.9,81,h
-23.38,147.74,26.6,19.3,16.6,55.0,14.1,7.9,81,h
-26.23,152.37,26.7,17.8,10.1,71.0,12.6,2.9,87,h
-26.76,148.79,22.6,16.2,15.8,43.0,13.4,14.0,62,h
-27.16,149.88,22.6,16.2,15.8,43.0,13.4,14.0,62,h
-27.84,151.21,24.3,16.8,14.4,40.0,12.5,11.5,62,h
-28.67,150.81,22.4,14.9,13.7,46.0,11.4,12.6,56,h
-28.85,151.7,23.6,14.9,9.4,56.0,10.2,5.4,88,h
-28.81,153.07,24.2,17.9,14.8,79.0,14.4,2.9,95,h
-29.63,152.77,25.0,16.9,13.3,77.0,14.8,1.1,91,h
-29.62,152.77,25.0,16.9,13.3,77.0,14.8,1.1,91,h
-30.11,151.63,20.4,10.0,8.6,52.0,3.0,3.2,70,h
-23.92,149.82,26.6,18.8,16.9,76.0,14.2,2.2,94,h
-25.03,149.41,24.8,18.0,17.6,49.0,13.4,10.4,73,h
-25.1,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-25.1,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-25.11,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-25.1,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-24.95,151.84,24.6,18.7,14.0,76.0,14.8,5.0,92,h
-25.1,151.53,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-25.1,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-25.1,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-25.1,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-25.1,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
-25.1,151.54,27.3,18.5,9.4,59.0,13.1,2.5,75,h
